T2M,PRECTOTCORR,WS2M,PS,RH2M,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
26.6,0.01,1.21,94.46,63.88,286.25,36.12,1.29,6.6,388.65
25.96,0.01,0.81,94.66,70.19,191.48,22.34,0.57,2.98,243.58
28.19,0.01,0.58,94.62,59.38,288.2,34.06,1.06,5.38,326.5
29.78,0.01,0.71,94.53,52.44,338.33,40.7,1.41,7.33,379.77
22.7,0.02,1.14,94.59,91.56,36.75,4.35,0.03,0.17,54.33
24.62,0.02,1.11,94.62,81.81,112.0,13.09,0.23,1.15,148.2
26.62,0.02,0.77,94.63,70.56,170.02,20.66,0.54,2.83,248.02
28.24,0.01,0.59,94.58,62.19,256.98,31.26,0.98,4.9,333.95
29.5,0.02,0.9,94.49,56.31,320.08,39.59,1.37,7.1,388.67
30.28,0.02,1.25,94.39,52.12,367.48,46.08,1.61,8.77,406.55
30.63,0.02,1.48,94.29,49.56,338.85,42.05,1.42,7.52,385.77
30.49,0.02,1.59,94.22,49.0,299.95,36.42,1.12,5.7,328.92
30.01,0.02,1.63,94.17,50.25,224.83,26.46,0.64,3.25,243.1
28.94,0.02,1.71,94.17,54.75,138.85,15.63,0.25,1.25,142.65
27.05,0.02,1.42,94.21,67.81,46.1,5.37,0.03,0.17,48.58
23.24,0.11,1.41,94.51,92.56,42.48,4.59,0.04,0.17,48.73
24.81,0.15,1.45,94.55,84.06,107.42,11.77,0.22,1.08,132.98
26.87,0.16,1.25,94.54,72.62,193.4,21.31,0.56,3.0,229.7
28.46,0.19,0.96,94.52,65.19,253.65,29.12,0.91,4.62,311.3
29.73,0.21,0.67,94.45,59.81,294.55,34.49,1.21,6.33,366.7
30.45,0.23,0.7,94.37,56.38,332.98,39.07,1.39,7.62,380.3
30.72,0.24,0.96,94.27,54.75,308.5,36.14,1.24,6.52,360.3
30.19,0.25,1.22,94.2,56.25,256.45,29.87,0.91,4.67,305.27
29.48,0.22,1.52,94.17,59.88,170.55,19.44,0.49,2.58,221.88
28.45,0.2,1.62,94.18,65.88,104.6,11.67,0.2,0.98,126.9
26.96,0.2,1.36,94.22,76.94,32.2,3.73,0.02,0.12,42.17
22.76,1.35,1.51,94.49,95.5,27.45,3.16,0.03,0.12,48.52
23.58,1.68,1.51,94.53,91.81,84.27,9.41,0.18,0.9,132.6
25.0,2.06,1.4,94.53,84.69,150.42,17.08,0.46,2.45,231.08
26.45,2.13,1.2,94.48,77.75,211.62,24.9,0.8,3.92,315.73
27.68,1.92,1.11,94.39,72.69,260.4,30.83,1.1,5.73,370.23
28.37,1.62,1.02,94.3,68.81,278.2,31.87,1.13,6.15,366.25
28.44,0.8,0.94,94.23,68.06,273.5,31.36,1.08,5.65,345.23
27.94,0.3,0.95,94.17,70.75,223.83,25.63,0.79,4.05,294.67
27.35,0.17,1.14,94.16,74.31,160.42,18.38,0.46,2.4,220.65
26.64,0.12,1.11,94.18,79.19,96.35,11.03,0.19,0.95,127.6
25.65,0.12,0.93,94.23,86.62,33.15,3.88,0.02,0.12,43.05
22.24,0.18,1.79,94.56,93.69,50.48,5.84,0.05,0.25,54.55
23.13,0.18,1.97,94.61,88.62,111.58,13.24,0.26,1.27,149.15
24.62,0.18,1.91,94.61,80.94,183.77,22.2,0.59,3.2,249.6
26.48,0.2,1.65,94.57,73.12,217.45,27.09,0.89,4.42,336.77
28.15,0.2,1.25,94.47,67.06,245.7,31.12,1.12,5.85,392.15
29.23,0.21,0.86,94.37,62.75,398.05,54.46,2.08,11.42,463.17
29.78,0.26,0.86,94.26,59.75,439.5,58.85,2.12,11.65,440.08
29.39,0.25,1.0,94.19,60.62,378.95,49.62,1.59,8.38,381.52
28.66,0.21,1.17,94.18,64.19,287.33,36.12,0.92,4.65,291.6
27.82,0.19,1.03,94.2,70.5,170.73,20.12,0.34,1.67,179.3
26.9,0.18,0.92,94.25,76.81,59.02,6.7,0.04,0.2,64.1
23.02,0.05,1.54,94.6,94.31,70.48,8.21,0.07,0.33,72.55
